site.name,site.id,dataset.id,age,tave_mat,tave_wa,tave_wapls,tave,lat,long
Clear Pond,480,492,11500,13.05,11.68247836,11.83490908,12.18912915,33.798895,-78.95336
Clear Pond,480,492,12500,12.004,11.59487644,11.89033181,11.82973608,33.798895,-78.95336
Clear Pond,480,492,13500,9.124545455,10.59133068,11.56377913,10.42655176,33.798895,-78.95336
Clear Pond,480,492,14500,9.081454545,10.34087631,11.19551974,10.2059502,33.798895,-78.95336
Clear Pond,480,492,15500,8.304,9.484999642,9.754024986,9.18100821,33.798895,-78.95336
Clear Pond,480,492,16500,7.05475,8.03357381,8.254092467,7.780805426,33.798895,-78.95336
Clear Pond,480,492,17500,5.250857143,5.880668058,6.311429994,5.814318398,33.798895,-78.95336
Clear Pond,480,492,18500,5.165538462,5.384488042,5.850161882,5.466729462,33.798895,-78.95336
Clear Pond,480,492,19500,4.712363636,4.674692763,5.096449713,4.827835371,33.798895,-78.95336
Decoy Lake,656,672,500,7.641142857,7.372249516,8.044432364,7.685941579,43.233333,-80.366667
Decoy Lake,656,672,1500,7.8435,8.116212234,8.833314325,8.264342186,43.233333,-80.366667
Decoy Lake,656,672,2500,8.019,8.383310729,9.145087039,8.515799256,43.233333,-80.366667
Decoy Lake,656,672,3500,7.648,7.97915081,8.866926687,8.164692499,43.233333,-80.366667
Decoy Lake,656,672,4500,7.894,7.922171447,8.837691792,8.217954413,43.233333,-80.366667
Decoy Lake,656,672,5500,6.84,6.574639651,8.11922499,7.177954881,43.233333,-80.366667
Decoy Lake,656,672,6500,6.692,5.721922078,6.905170562,6.439697547,43.233333,-80.366667
Decoy Lake,656,672,7500,6.188,4.500685172,6.037900911,5.575528695,43.233333,-80.366667
Decoy Lake,656,672,8500,5.441777778,4.883568068,6.669587696,5.664977847,43.233333,-80.366667
Decoy Lake,656,672,9500,5.679818182,4.705199184,6.292399997,5.559139121,43.233333,-80.366667
Decoy Lake,656,672,10500,5.117,4.108552236,5.608149454,4.94456723,43.233333,-80.366667
Decoy Lake,656,672,11500,3.896857143,3.603430703,4.88098564,4.127091162,43.233333,-80.366667
Decoy Lake,656,672,12500,-2.543,-2.664654189,-1.756859145,-2.321504445,43.233333,-80.366667
Decoy Lake,656,672,13500,-2.552,-1.549121751,-1.094300799,-1.731807517,43.233333,-80.366667
Devils Lake,666,684,500,7.115846154,9.982809272,10.33393431,9.144196579,43.4178,-89.73205
Devils Lake,666,684,1500,6.7538,9.320581586,9.669041717,8.581141101,43.4178,-89.73205
Devils Lake,666,684,2500,6.987333333,9.324156785,9.549305716,8.620265278,43.4178,-89.73205
Devils Lake,666,684,3500,7.274666667,9.609405227,9.833243906,8.905771933,43.4178,-89.73205
Devils Lake,666,684,4500,6.957111111,9.036702934,9.219516803,8.404443616,43.4178,-89.73205
Devils Lake,666,684,5500,7.3125,9.930578599,10.3095305,9.184203031,43.4178,-89.73205
Devils Lake,666,684,6500,7.60625,10.3065024,10.8853169,9.599356434,43.4178,-89.73205
Devils Lake,666,684,7500,7.518571429,10.47018014,11.03882771,9.67585976,43.4178,-89.73205
Devils Lake,666,684,8500,7.124333333,9.413811739,10.09789347,8.878679515,43.4178,-89.73205
Devils Lake,666,684,9500,6.786,9.410900642,10.16287834,8.786592995,43.4178,-89.73205
Devils Lake,666,684,10500,6.38675,7.952341665,9.037058499,7.792050055,43.4178,-89.73205
Devils Lake,666,684,11500,3.167,2.864303985,4.012142062,3.347815349,43.4178,-89.73205
Devils Lake,666,684,12500,0.9576,1.853853754,2.621420338,1.810958031,43.4178,-89.73205
Devils Lake,666,684,13500,0.112666667,1.33486394,2.126348212,1.19129294,43.4178,-89.73205
Devils Lake,666,684,14500,-3.03,-2.428380418,-2.047892669,-2.502091029,43.4178,-89.73205
Lac ‡ Magie,1534,1572,10500,3.195,3.741669108,5.921219249,4.285962786,44.263889,-66.079167
