paleo_tave_deviance,paleo_pr_deviance,paleo_pr2_deviance,modern_tave_deviance,modern_pr_deviance,AIC_fit_null,AIC_fit_100,AIC_fit_200,AIC_fit_400,AIC_fit_600,AIC_fit_800,AIC_fit_1000,pseudo_r2_fit_null,pseudo_r2_fit_100,pseudo_r2_fit_200,pseudo_r2_fit_400,pseudo_r2_fit_600,pseudo_r2_fit_800,pseudo_r2_fit_1000,moran_fit_null,moran_fit_100,moran_fit_200,moran_fit_400,moran_fit_600,moran_fit_800,moran_fit_1000,climate_simulation,species
0.11305124948097693,3.0261389045875933,0.5795014784990348,6.203478037797398,1.6456077001214975,1855.4017567808883,1785.2055136164763,1817.6990489087877,1866.2520026300167,1894.3664584543822,1922.4851976451912,1920.1706207200582,0.7951037241012127,0.8437322900407926,0.8256009467232502,0.7945143232365275,0.7740400882872556,0.7515222405724804,0.7534576397421018,0,0,0,0,0,0,0,CCSM-MARUM,amph
1.714650092180566,0.9867585521822517,0.19321628118652395,6.310675174104119,2.063532495636054,1847.2623747290243,1787.9002574405474,1818.371974778111,1859.1284091817395,1884.8297208621595,1927.5399562741593,1954.3420382856236,0.8006611844768226,0.8423031545623403,0.8252040172097315,0.7994005491518797,0.7812041958640443,0.7472425762177635,0.7232878478782437,0,0,0,0,0,0,0,CCSM-NCAR,amph
0.007234590557487221,2.035606030209899,0.017758593491435985,3.5484972268683648,1.6907337640619537,1854.0967891803398,1778.544075295495,1807.2219896880583,1848.8061401709829,1883.4665072867542,1924.0514191776915,1933.270804181389,0.7960050567513514,0.8472097956928348,0.8316659138692959,0.8062753913462726,0.7822095324863343,0.7502039883960077,0.7423012667194289,0,0,0,0,0,0,0,CM2Mc,amph
0.15496518971057874,2.2807502604150565,0.25301431920713113,3.2257694663291927,0.5035285233394854,1871.6836339995573,1774.589954471155,1811.0984762855219,1864.5317045792713,1895.991916636754,1924.0091079623253,1899.6297635975147,0.783517389798565,0.8492372739266058,0.8294468716918524,0.7957051048831313,0.7727958359157749,0.7502396925091306,0.769986261895013,0,0,0,0,0,0,0,COSMOS-S,amph
0.6060299957743647,2.8359061781326482,0.035299291708009946,4.871038661458227,0.7075961824596345,1877.3747878467066,1773.6094324866087,1811.2443417296445,1861.9658622549455,1881.6703539172786,1904.1825902770688,1900.1369595866684,0.7793148350295744,0.8497358603959133,0.8293628043318355,0.797468358615774,0.783527102103919,0.7664210327962324,0.7695917955006378,0,0,0,0,0,0,0,COSMOS-W,amph
1.4443684915919415,0.0018582636414484317,0.023210664911039763,6.813395074446274,1.5732856675671203,1823.7860730388938,1794.0826850913063,1814.477669489404,1859.303127735543,1913.8630585374585,1973.022377368738,2007.7988800249313,0.8158604051747573,0.838974768498814,0.8274886477549696,0.7992821072872726,0.7586557122519125,0.7052619317954116,0.6685174256512008,0,0,0,0,0,0,0,HadCM3,amph
5.7153593662118505,0.34537531815793043,0.0010005551997377213,1.607009624396907,1.239266482703865,1850.6902066128891,1775.843004339274,1808.0808358961544,1861.8623923538057,1891.5380388886658,1919.612184224677,1936.337066089036,0.7983393204681652,0.8485977008191588,0.8311767819959183,0.7975391433004233,0.776188958699525,0.753922330487682,0.7396178928331713,0,0,0,0,0,0,0,IPSL,amph
0.6089722369527759,1.7871183628565084,0.08802236796970841,7.5882792204364975,2.3035391919497763,1849.2766360274936,1784.7883302465193,1817.1943562249578,1861.6023615877207,1901.9434208896532,1952.8047151750393,1919.1641942907227,0.7993000705368398,0.843952379129706,0.8258980512222932,0.7977169234832848,0.7681813354321776,0.7247212709036519,0.7542944823044092,0,0,0,0,0,0,0,MIROC-S,amph
0.6081903676759408,9.749004976101267,0.15370429820563092,14.954517982098736,2.285274626727323,1873.9346242454935,1771.696525781701,1804.7732441760381,1847.200418554517,1867.3790039167964,1896.781294630853,1900.999950425964,0.7818648295448631,0.8507038147196563,0.8330527617676964,0.8073234507556052,0.7937304582017892,0.772189115216976,0.7689190579604526,0,0,0,0,0,0,0,MIROC-W,amph
0.017715083866583225,0.02074526894322965,0.19200046782596175,2.7507611328333583,1.3536233833064122,1819.118682384632,1798.1667679298935,1820.7621149887023,1865.600575206643,1916.97832896193,1978.9653235077717,2010.2370230927572,0.8187411852193205,0.8367376122661143,0.8237868610311666,0.7949660523467335,0.7561022558373081,0.6992845170775688,0.6657757375896928,0,0,0,0,0,0,0,PROXY_KRIGING,amph
3.1809208317236215,0.009894910875283767,0.23697451115082163,0.055079198723891165,0.15409930320729584,1833.4221608418234,1789.8120961256195,1819.3163203942777,1856.6422283023708,1918.3420859847593,1985.2296271935384,2013.0499360703088,0.8097672184746,0.841281307665986,0.8246454651389967,0.8010783799087191,0.754975956272468,0.6928525988509981,0.6625844366366231,0,0,0,0,0,0,0,TRACE_LORENZ,amph
0.38319883032901214,0.7719849170897107,0.2802136844332161,6.4776601394758035,1.6867575524123153,1840.084904937319,1790.2185776393535,1819.37043273575,1865.1146990436462,1899.830678154054,1936.6634081448522,1930.2123150445257,0.8054366613226484,0.841063197757219,0.8246134053016348,0.795302334068974,0.7698300835312705,0.739330661443375,0.7449502896790159,0,0,0,0,0,0,0,TRACE_MWF,amph
1.6750043747124996,0.15019476119904535,0.17467747044844925,0.29066263585844365,0.1854174975782739,1824.918908154111,1794.927263077042,1821.7202331041572,1857.0268529069035,1924.8237123780143,2000.4613794550826,2033.0875554034228,0.8151543258512985,0.8385146584559718,0.8232155551452325,0.8008197316657213,0.7495513949893384,0.676633489001473,0.6389523455910251,0,0,0,0,0,0,0,TRACE,amph
