Species,Nagelkerke's Psuedo R2,Paleotemperature Deviance Explained (%),Paleoprecipitation Deviance Explained (%),Paleoprecipitation^2 Deviance Explained (%),Modern Temperature Deviance Explained (%),Modern Precipitation Deviance Explained (%),Paleoclimate Deviance Explained (%),Modern Climate Deviance Explained (%)
Amphibians,0.9266163615384615,0.5201226055384616,0.5561579595384616,0.09435487092307693,5.129504801615385,0.25205576853846157,1.170635436,5.381560570153846
Birds,0.8755039704615385,0.445033374,0.21298733846153847,0.10791816153846155,0.6158582343076923,0.21352395153846154,0.765938874,0.8293821858461539
Mammals,0.7301022342307693,0.731426858,0.5679906850769231,0.2206121523076923,0.502439638076923,0.37695521115384617,1.5200296953846153,0.8793948492307693
Reptiles,0.9768392956153846,1.4158959146923078,0.29416594515384614,0.19923452815384615,8.004634541615385,2.206545854923077,1.909296388,10.211180396538461
Trees,0.904807622,0.7142290945384615,0.48292637176923076,0.12580935576923077,2.3957913944615385,0.8231738329230769,1.322964822076923,3.2189652273846154
