paleo_tave_deviance,paleo_pr_deviance,paleo_pr2_deviance,modern_tave_deviance,modern_pr_deviance,coef_paleo_tave,coef_paleo_pr,coef_paleo_pr2,coef_modern_tave,coef_modern_pr,AIC_fit_null,AIC_fit_50,AIC_fit_100,AIC_fit_200,AIC_fit_400,AIC_fit_600,AIC_fit_800,AIC_fit_1000,pseudo_r2_fit_null,pseudo_r2_fit_50,pseudo_r2_fit_100,pseudo_r2_fit_200,pseudo_r2_fit_400,pseudo_r2_fit_600,pseudo_r2_fit_800,pseudo_r2_fit_1000,moran_fit_null,moran_fit_50,moran_fit_100,moran_fit_200,moran_fit_400,moran_fit_600,moran_fit_800,moran_fit_1000,modern_tave_sig,modern_pr_sig,paleo_tave_sig,paleo_pr_sig,paleo_pr2_sig,climate_simulation,species
1.717752168,7.58E-04,3.31E-05,0.691282299,0.023000927,3.529966101,1.180849061,-0.645340964,0.520611149,-0.339691279,6331.256229,6195.934957,6347.995309,6836.668715,7176.229545,7524.604074,7805.250466,7902.712442,0.91750702,0.926685557,0.917054544,0.876673695,0.837536837,0.784443551,0.729297559,0.707012789,0.644357464,0.007714924,0.11409077,0.356835881,0.501890077,0.584618063,0.624463248,0.632074448,TRUE,FALSE,TRUE,FALSE,FALSE,TRACE_LORENZ,amph
0.012138266,0.090881536,0.085923669,6.429160935,0.433327658,0.23601236,5.786737706,-10.7455085,1.106131571,1.314050489,6330.786905,6210.374285,6344.290021,6830.353814,7180.684158,7428.434341,7609.171882,7783.189067,0.917538439,0.92582124,0.917303631,0.877304215,0.836948347,0.800629885,0.769127521,0.734101878,0.65609368,0.012801332,0.108333638,0.359366366,0.50231846,0.568904082,0.614663462,0.602429858,TRUE,TRUE,FALSE,FALSE,FALSE,TRACE_MWF,amph
1.461612173,0.128239101,0.180226133,0.81680546,0.047547146,3.140444283,22.38201422,104.049878,0.563425651,-0.502224228,6328.729922,6197.519882,6345.757463,6830.39183,7164.563016,7512.319868,7808.780165,7928.197346,0.917676004,0.92659118,0.917205072,0.877300429,0.839068035,0.786582173,0.72852088,0.700888995,0.643743917,0.006820536,0.111989861,0.356532227,0.499779002,0.585695164,0.630473535,0.637902865,TRUE,FALSE,TRUE,FALSE,FALSE,TRACE,amph
0.90362736,0.019714563,0.148939065,0.4819778,0.177927636,4.435396071,3.40003455,-14.39901145,0.474996058,1.127811013,7112.034991,7295.522243,7082.072733,7109.076454,7543.007624,7937.676943,8251.674979,8491.45084,0.89380051,0.877741594,0.897190022,0.894911693,0.850541632,0.794104996,0.734335327,0.677256416,0.675558707,-0.002251191,-0.004953258,0.134839316,0.377518166,0.514304916,0.59591707,0.650889687,TRUE,FALSE,TRUE,FALSE,FALSE,CCSM-MARUM,bird
0.598531561,0.138658619,0.080037699,0.66184156,0.253231575,3.751360432,23.22245205,-29.49522286,0.559746119,1.364020458,7102.404583,7318.870265,7088.545239,7108.82957,7530.442767,7946.758386,8318.41693,8626.091414,0.894627423,0.875402542,0.896648472,0.89493275,0.852058174,0.792581675,0.719546329,0.639985493,0.715640556,-0.01211953,-0.007980891,0.134341243,0.371686765,0.518885612,0.613829942,0.678605071,TRUE,FALSE,TRUE,FALSE,FALSE,CCSM-NCAR,bird
0.036195861,0.08007076,0.038901816,0.692027759,0.281586295,1.057936698,8.532737631,-5.577791743,0.605154774,1.471454037,7100.408913,7322.540974,7093.035235,7107.069856,7523.921222,7929.97657,8300.543662,8626.029673,0.894797974,0.875030754,0.896271123,0.895082714,0.852839229,0.795387889,0.723585646,0.640003534,0.72191211,-0.012336724,-0.007992808,0.13389723,0.371473782,0.517171088,0.612652529,0.681341008,TRUE,FALSE,FALSE,FALSE,FALSE,CM2Mc,bird
0.058160844,0.512479577,0.258340448,0.619947017,0.207781681,2.684363247,55.03548514,-61.483557,0.575928671,1.284770746,7103.179513,7315.224286,7090.477103,7097.294576,7468.056387,7839.098235,8189.651372,8460.342737,0.894561123,0.875770731,0.896486282,0.895911885,0.859363179,0.809937842,0.747378822,0.685303694,0.679207874,-0.008003763,-0.009119496,0.130718159,0.345909421,0.486906727,0.58154514,0.643079321,TRUE,FALSE,FALSE,TRUE,FALSE,COSMOS-S,bird
0.309902607,0.473406278,0.212789672,0.792165079,0.227031091,4.965747333,30.0099344,-30.96466383,0.621624113,1.318331434,7106.971166,7303.613333,7090.314502,7103.639543,7472.997596,7807.762085,8129.645052,8391.766951,0.89423612,0.876936027,0.896499943,0.895374434,0.858797991,0.814711147,0.759388255,0.702341784,0.660651009,-0.003472383,-0.007167955,0.132520626,0.344092739,0.475254852,0.567251763,0.628443593,TRUE,FALSE,TRUE,TRUE,FALSE,COSMOS-W,bird
0.032286873,0.699262986,0.346120986,0.907150363,0.27330763,1.160708455,52.92414043,-65.25025947,0.624471807,1.403843499,7107.587162,7301.486826,7087.419405,7097.430572,7469.510991,7813.483853,8099.525106,8357.376118,0.894183225,0.877148259,0.896742874,0.895900394,0.859197033,0.81384861,0.765199407,0.710535905,0.682540282,-0.001147565,-0.00724418,0.130339333,0.349553181,0.478674577,0.563725126,0.628612306,TRUE,FALSE,FALSE,TRUE,TRUE,HadCM3,bird
1.645256585,0.42152303,0.017572691,0.975858092,0.305948509,15.6884934,11.71371672,-3.957050615,0.740355033,1.528971155,7140.786614,7264.219857,7080.307286,7104.504933,7462.519294,7772.233503,8007.7669,8165.597547,0.891292948,0.880808779,0.897337242,0.895300916,0.859993838,0.81997822,0.782051772,0.752263213,0.596878255,0.01536553,0.002571616,0.132179245,0.336224859,0.451571479,0.520975784,0.568373893,TRUE,TRUE,TRUE,TRUE,FALSE,IPSL,bird
0.170247311,0.117736666,0.118462527,0.778486813,0.26684135,1.773349403,12.18775906,-17.81428472,0.619394582,1.417584734,7098.648771,7321.744547,7093.78838,7106.547022,7530.346664,7936.748172,8309.463439,8608.492785,0.894948167,0.875111515,0.896207692,0.895127229,0.852069714,0.794260156,0.721577122,0.6450916,0.690594376,-0.013257906,-0.009618111,0.133296541,0.368273531,0.507369771,0.596991017,0.655539688,TRUE,FALSE,FALSE,FALSE,FALSE,MIROC-S,bird
0.048208719,0.019004032,0.001909933,0.747079721,0.272126001,5.328977548,7.869381761,-13.14877584,0.638134968,1.45838876,7095.951042,7340.779542,7095.470765,7108.302073,7534.868591,7943.713648,8296.521412,8559.612813,0.895177949,0.873166944,0.896065859,0.894977726,0.851525754,0.793093651,0.724486615,0.65889702,0.663510297,-0.005484439,-0.011664716,0.133830552,0.370890204,0.511331308,0.598462402,0.654803039,TRUE,FALSE,FALSE,FALSE,FALSE,MIROC-W,bird
9.69E-05,0.179839754,4.74E-04,0.470690979,0.186948625,-0.044713613,5.631388866,0.218743677,0.520867982,1.208043172,7096.368466,7327.360433,7093.79216,7108.918325,7536.288375,7881.850242,8155.685615,8379.688043,0.895142428,0.87454093,0.896207373,0.89492518,0.85135455,0.803226668,0.754248358,0.705245858,0.639995353,-0.010199141,-0.010427612,0.134922459,0.369904477,0.479378592,0.544362337,0.593568679,TRUE,FALSE,FALSE,FALSE,FALSE,PROXY_KRIGING,bird
0.604998281,0.010642867,0.051874199,0.074625746,0.051303578,3.83492341,-5.373190175,-33.8521863,0.237814581,0.67279202,7100.493596,7359.625525,7090.217032,7108.060944,7552.844511,8027.922241,8451.701,8751.889464,0.894790743,0.871211855,0.896508131,0.894998279,0.849343507,0.778456845,0.687503375,0.601282504,0.693692322,-0.013607656,-0.007591718,0.133009148,0.381550089,0.537772341,0.625384977,0.675426331,FALSE,FALSE,TRUE,FALSE,FALSE,TRACE_LORENZ,bird
0.722048885,0.089861429,0.094431649,0.73721525,0.239419239,3.339795296,8.993977399,-15.03655827,0.565994548,1.300684895,7113.987446,7288.820135,7080.306724,7106.613927,7527.879938,7909.140982,8231.179505,8470.029157,0.893632073,0.878404877,0.897337289,0.895121534,0.852365605,0.798819193,0.738718349,0.682819688,0.674710061,-0.001195928,-0.004782653,0.134534113,0.374544283,0.51085103,0.594094249,0.647524417,TRUE,FALSE,TRUE,FALSE,FALSE,TRACE_MWF,bird
0.655872075,0.006634839,0.033081415,0.067090867,0.03235816,3.628156224,6.256523062,-51.2167214,0.227292039,0.530140176,7100.78938,7368.537953,7088.873748,7104.744777,7546.966349,8018.584551,8447.746709,8741.679416,0.89476548,0.870276809,0.89662091,0.895280532,0.850060613,0.780129638,0.688504773,0.604573172,0.68681026,-0.015312641,-0.008856135,0.1328372,0.378964328,0.5340389,0.621905465,0.669104323,FALSE,FALSE,TRUE,FALSE,FALSE,TRACE,bird
